,,,The number in each cell represents the row number that each metric appeared in from the participant's FigJam screenshot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,Custom,Metric name,Jack,Evan,Casey,Olivia,Freddy's,Alex Stucky,Red hair glasses,Mattie,Becky P,Adam,Apryl,veronica,Andrew,Joanna,Bobbi,Carlos V,NO NAME,Russ,Times chosen,% chosen overall,1st row,% 1st,2nd row,% 2nd,3rd row,% 3rd,1st-3rd,% 1st-3rd,rejected (not chosen),reject rate,,,,,,,,,,,,,,,,,,
,x,Lapsing Rate (custom),,,,,,,,,,,,,3,,,,,,1,6%,0,0%,0,0%,1,6%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Sign-Up to 1st Purchase Conversion (custom),,,,,,,,,,,,,3,,,,,,1,6%,0,0%,0,0%,1,6%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Sign-Up to 2nd Purchase (custom),,,,,,,,,,,,,3,,,,,,1,6%,0,0%,0,0%,1,6%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Pre-Sign-Up to Post (custom),,,,,,,,,,,,,3,,,,,,1,6%,0,0%,0,0%,1,6%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Re-engagement rate (custom),,,,,,,,,,,,,2,,,,,,1,6%,0,0%,1,6%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,,Recent Content,,,,,1,,,,,,,,,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Transaction Trend (custom),,,,,,,1,,,,,,,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,AoV trend (custom),,,,,,,1,,,,,,,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Visit Frequency by Segment (custom),,,,,,,,,1,,,,,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Total Loyalty Sales vs Same Period (custom,,,,,,,,,,,,,1,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Loyalty Transcation Discount Rate (Custom),,,,,,,,,,,,,1,,,,,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
,x,Number Transactions/Guests (custom),,,,,,,,,,,,,,,,,1,,1,6%,1,6%,0,0%,0,0%,1,6%,17,94%,,,,,,,,,,,,,,,,,,
x,,Segment of the Week,,,,,,,,,,,,,,,,4,,,1,6%,0,0%,0,0%,0,0%,0,0%,17,94%,,,,,,,,,,,,,,,,,,
,x,Reward Redemption rate (custom),,,,,,,,,4,,,,,,,,,,1,6%,0,0%,0,0%,0,0%,0,0%,17,94%,,,,,,,,,,,,,,,,,,
,x,Channel Retention Score (custom),,,,,,,,,,5,,,,,,,,,1,6%,0,0%,0,0%,0,0%,0,0%,17,94%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
